code,date,close,high,low,max_price,rsi,rsi_var,trade_type,now_buy_sell,pre_middle_date,mid_step,common_buy_boll_days,common_sell_boll_days,sp_boll_days,principal,stock_num,add_flag,add_principal,delay_buy,low_rsi,win_stop
600073.SH,20220823,7.47,7.48,7.35,7.47,70.9799,0.169,2,-1,20220823,3,0,0,0,5849.01,1566.0,0,0.0,False,0,False
600073.SH,20220824,7.38,7.56,7.36,7.47,52.4754,-0.2607,-1,1,20220823,3,0,0,1,17406.09,0.0,0,0.0,False,0,False
600073.SH,20220825,7.52,7.54,7.39,7.52,68.0322,0.2965,1,-1,20220823,3,0,1,2,4.81000000000131,2314.0,0,0.0,False,0,False
600073.SH,20220826,7.56,7.57,7.46,7.56,71.258,0.0474,0,-1,20220823,3,0,0,3,4.81000000000131,2314.0,0,0.0,False,0,False
600073.SH,20220829,7.69,7.7,7.46,7.69,79.3748,0.1139,0,-1,,0,0,1,0,4.81000000000131,2314.0,0,0.0,False,0,False
600073.SH,20220830,7.71,7.73,7.58,7.71,80.3968,0.0129,2,-1,20220830,1,0,0,1,0.0,4628.0,0,17836.129999999997,False,0,False
600073.SH,20220831,7.7,7.8,7.63,7.71,78.0755,-0.0289,0,-1,20220830,1,0,1,2,0.0,4628.0,0,0.0,False,0,False
600073.SH,20220901,7.86,7.91,7.7,7.86,85.8948,0.1002,0,-1,20220830,1,0,0,3,0.0,4628.0,0,0.0,False,0,False
600073.SH,20220902,7.8,7.89,7.71,7.86,74.0159,-0.1383,-1,1,20220830,1,0,0,1,36098.4,0.0,0,0.0,False,0,False
600073.SH,20220905,7.79,7.85,7.72,7.79,72.0238,-0.0269,0,1,,0,0,0,2,36098.4,0.0,0,0.0,False,0,False
600073.SH,20220906,7.84,7.85,7.75,7.84,75.9135,0.054,1,-1,20220906,1,0,0,3,3.040000000000873,4604.0,0,0.0,False,0,False
600073.SH,20220907,7.74,7.8,7.7,7.84,56.92,-0.2502,0,-1,20220906,1,0,0,0,3.040000000000873,4604.0,0,0.0,False,0,False
600073.SH,20220908,7.67,7.79,7.63,7.84,47.0349,-0.1737,0,-1,20220906,1,0,0,0,3.040000000000873,4604.0,0,0.0,False,0,False
600073.SH,20220909,7.67,7.73,7.66,7.84,47.0349,0.0,0,-1,20220906,1,0,0,0,3.040000000000873,4604.0,0,0.0,False,0,False
600073.SH,20220913,7.76,7.82,7.69,7.84,59.9215,0.274,0,-1,,0,0,0,0,3.040000000000873,4604.0,0,0.0,False,0,False
600073.SH,20220914,7.78,7.81,7.62,7.78,62.3633,0.0407,2,-1,20220914,1,0,0,0,0.0,9208.0,0,35816.08,False,0,False
600073.SH,20220915,7.77,7.91,7.71,7.78,60.164,-0.0353,0,-1,20220914,1,0,0,0,0.0,9208.0,0,0.0,False,0,False
600073.SH,20220916,7.55,7.79,7.5,7.78,31.1559,-0.4822,-2,-1,20220916,-2,0,0,0,34760.2,4604.0,0,0.0,False,0,False
600073.SH,20220919,7.55,7.57,7.4,7.78,31.1559,0.0,0,-1,20220916,-2,0,0,0,34760.2,4604.0,0,0.0,False,0,False
600073.SH,20220920,7.61,7.67,7.51,7.78,42.1164,0.3518,0,-1,20220916,-2,0,0,0,34760.2,4604.0,0,0.0,False,0,False
600073.SH,20220921,7.7,7.73,7.56,7.7,55.0094,0.3061,2,-1,20220921,3,0,0,0,0.0,9208.0,0,690.6000000000058,False,0,False
600073.SH,20220922,7.65,7.74,7.64,7.7,47.897,-0.1293,0,-1,20220921,3,0,0,0,0.0,9208.0,0,0.0,False,0,False
600073.SH,20220923,7.44,7.67,7.4,7.7,28.9996,-0.3945,-2,-1,20220923,-4,1,0,-1,34253.76,4604.0,0,0.0,False,0,False
600073.SH,20220926,7.19,7.44,7.17,7.7,18.5463,-0.3605,0,-1,20220923,-4,1,0,-2,34253.76,4604.0,0,0.0,False,0,False
600073.SH,20220927,7.53,7.55,7.19,7.7,48.7157,1.6267,0,-1,20220923,-4,0,0,-3,34253.76,4604.0,0,0.0,False,0,False
600073.SH,20220928,7.48,7.68,7.48,7.7,45.7269,-0.0614,0,-1,20220923,-4,0,0,0,34253.76,4604.0,0,0.0,False,0,False
600073.SH,20220929,7.43,7.71,7.38,7.7,42.5912,-0.0686,0,-1,,0,0,0,0,34253.76,4604.0,0,0.0,False,0,False
600073.SH,20220930,7.35,7.57,7.34,7.7,37.6359,-0.1163,-2,-1,20220930,-1,0,0,0,51173.46000000001,2302.0,0,0.0,False,0,False
600073.SH,20221010,7.48,7.61,7.38,7.48,49.1682,0.3064,2,-1,20221010,2,0,0,0,17218.960000000006,4604.0,0,0.0,False,0,False
600073.SH,20221011,7.77,7.78,7.33,7.77,65.9991,0.3423,-2,-1,20221011,-3,0,0,0,35105.5,2302.0,0,0.0,False,0,False
600073.SH,20221012,7.34,7.67,7.01,7.77,41.5312,-0.3707,0,-1,20221011,-3,1,0,-1,35105.5,2302.0,0,0.0,False,0,False
600073.SH,20221013,7.29,7.44,7.11,7.77,39.4884,-0.0492,0,-1,20221011,-3,1,0,-2,35105.5,2302.0,0,0.0,False,0,False
600073.SH,20221014,7.38,7.48,7.27,7.77,45.2998,0.1472,0,-1,20221011,-3,0,0,-3,35105.5,2302.0,0,0.0,False,0,False
600073.SH,20221017,7.39,7.43,7.29,7.77,45.9914,0.0153,0,-1,,0,0,0,0,35105.5,2302.0,0,0.0,False,0,False
600073.SH,20221018,7.4,7.49,7.35,7.77,46.7986,0.0176,0,-1,,0,0,0,0,35105.5,2302.0,0,0.0,False,0,False
600073.SH,20221019,7.2,7.44,7.19,7.77,34.4441,-0.264,-2,-1,20221019,-1,0,0,0,43392.7,1151.0,0,0.0,False,0,False
600073.SH,20221020,7.11,7.22,7.09,7.77,30.1466,-0.1248,0,-1,20221019,-1,1,0,-1,43392.7,1151.0,0,0.0,False,0,False
600073.SH,20221021,7.06,7.19,7.04,7.77,27.8316,-0.0768,0,-1,20221019,-1,1,0,-2,43392.7,1151.0,0,0.0,False,0,False
600073.SH,20221024,7.0,7.15,6.95,7.77,25.0604,-0.0996,0,-1,20221019,-1,1,0,-3,43392.7,1151.0,0,0.0,False,0,False
600073.SH,20221025,6.9,7.03,6.8,7.77,20.8986,-0.1661,-1,1,,0,1,0,0,51334.6,0.0,0,0.0,False,0,False
600073.SH,20221026,6.94,7.04,6.88,6.94,26.7385,0.2794,0,1,,0,0,0,0,51334.6,0.0,0,0.0,True,0,False
600073.SH,20221027,6.94,7.0,6.89,6.94,26.7385,0.0,0,1,,0,0,0,0,51334.6,0.0,0,0.0,True,0,False
600073.SH,20221028,6.7,6.9,6.67,6.7,16.3251,-0.3895,1,-1,20221028,-1,1,0,-1,5.899999999994179,7661.0,0,0.0,False,0,False
600073.SH,20221031,6.71,6.76,6.66,6.71,17.9234,0.0979,0,-1,20221028,-1,1,0,-2,5.899999999994179,7661.0,0,0.0,False,0,False
600073.SH,20221101,6.93,6.93,6.72,6.93,45.4371,1.5351,0,-1,20221028,-1,0,0,-3,5.899999999994179,7661.0,0,0.0,False,0,False
600073.SH,20221102,7.04,7.09,6.93,7.04,54.5738,0.2011,0,-1,20221028,-1,0,0,0,5.899999999994179,7661.0,0,0.0,False,0,False
600073.SH,20221103,7.25,7.33,6.99,7.25,67.1685,0.2308,0,-1,,0,0,0,0,5.899999999994179,7661.0,0,0.0,False,0,False
600073.SH,20221104,7.32,7.36,7.21,7.32,70.4461,0.0488,2,-1,20221104,1,0,0,0,0.0,15322.0,0,56072.62000000001,False,0,False
600073.SH,20221107,7.42,7.49,7.28,7.42,74.7649,0.0613,0,-1,20221104,1,0,0,0,0.0,15322.0,0,0.0,False,0,False
600073.SH,20221108,7.37,7.47,7.3,7.42,68.738,-0.0806,0,-1,20221104,1,0,0,0,0.0,15322.0,0,0.0,False,0,False
600073.SH,20221109,7.37,7.41,7.33,7.42,68.738,0.0,0,-1,20221104,1,0,0,0,0.0,15322.0,0,0.0,False,0,False
600073.SH,20221110,7.46,7.52,7.28,7.46,74.1411,0.0786,0,-1,,0,0,0,0,0.0,15322.0,0,0.0,False,0,False
600073.SH,20221111,7.52,7.59,7.48,7.52,77.2821,0.0424,0,-1,,0,0,0,0,0.0,15322.0,0,0.0,False,0,False
